Name,AA_HS_V2S2_H.csv,,,,
147.0461174,9008.4,9045,9099.6,9095.6,9081.8
152.4515176,8662.4,8696.8,8711.6,8730.2,8679.8
157.8485895,8651.6,8716,8710,8698.8,8718
163.2373472,8592.2,8667.2,8593,8633.8,8575
168.6178049,8771.8,8830.6,8802.2,8819.2,8788
173.9899766,9093.2,9007.8,9006.4,9068.2,9034
179.3538764,8590.6,8584,8622.6,8653.4,8718.4
184.7095182,8722.4,8730.6,8676.8,8684.2,8675.6
190.0569161,8801.8,8843,8869.2,8863,8894.6
195.396084,8981,9172.8,9027.6,9004.8,9128.4
200.7270358,8595,8541,8557.2,8619.8,8579.8
206.0497854,8527.6,8573,8640.6,8646.2,8679.2
211.3643466,8447.6,8475.4,8415.8,8467.8,8452.2
216.6707333,8711.8,8698,8711.6,8729.8,8782.4
221.9689593,8383,8413.2,8405.8,8418,8428.8
227.2590382,8527.8,8571.6,8610.2,8654,8613
232.5409839,8589.6,8601.4,8563,8630.8,8664
237.8148101,8450.8,8482.6,8473.2,8624.4,8592.6
243.0805303,8590.4,8661,8584.4,8620.2,8637.8
248.3381582,8534.8,8572.8,8611.6,8604.2,8653
253.5877075,8505,8436.2,8428,8449,8453.2
258.8291917,8515.6,8551.2,8524.2,8547.6,8579.6
264.0626244,8655.2,8575.8,8550,8566.2,8601.6
269.288019,8776.6,8759,8753.4,8773.6,8788.4
274.5053891,8891,8812.8,8897,8861.4,8840.2
279.7147481,8657.4,8604,8688.4,8648,8683
284.9161094,8588.8,8654.8,8564.8,8656,8633.2
290.1094865,9186.2,9115.2,9105.4,9100.4,9030.4
295.2948927,10733.6,10478.8,10368.8,10394.4,10384
300.4723414,14116.2,13686.8,13518.6,13331.4,13355.4
305.6418459,17610.2,16757.8,16444.2,16244.6,16283
310.8034194,20475,19426.8,19019.8,18654.4,18787.2
315.9570752,22418.8,21109.2,20747.4,20387.2,20384.6
321.1028267,22662.4,21443.6,20865.6,20663.2,20731
326.2406869,23021,21707.4,21173.2,20874.2,20941.6
331.370669,23268.8,21956.8,21276.2,21167.8,21103.6
336.4927863,23678.6,22226.2,21595.8,21369.8,21407.6
341.6070517,23979.2,22419.8,21868.6,21555.2,21569.8
346.7134786,23932.8,22403,21762.6,21519.4,21517
351.8120798,24116,22719.6,22141,21839.6,21803.8
356.9028684,23882.2,22591.6,21874.4,21564.8,21552.2
361.9858576,24005.6,22496,21753.8,21418.6,21419.6
367.0610602,24047.6,22771.4,22048.6,21649.2,21668.2
372.1284892,23677.2,22315.8,21654.8,21395.4,21373.4
377.1881577,23919.8,22588.6,21746.8,21516.2,21651.4
382.2400784,23538.8,22302.8,21639.8,21318.2,21378.4
387.2842644,23325.8,21926.4,21265,21180.2,21162.8
392.3207284,23445.4,22069.6,21427.4,21218,21141
397.3494833,23185.8,21672.6,21148.2,20866,20854
402.370542,23523.6,22052.2,21399.8,21081,21253.2
407.3839172,23396.2,22103,21304.4,21048.4,21211
412.3896217,23124,21735.2,21196.6,20833.6,20974
417.3876683,22662.6,21503,20756.2,20497.6,20483.4
422.3780697,23030,21730,20978,20547,20784.4
427.3608386,22776.2,21455,21052,20656.8,20687.4
432.3359876,23205.8,21821.4,21243.4,20912.6,21009.6
437.3035295,23060.6,21717,21164.2,20937.6,20957.4
442.2634769,23068.2,21795.8,21288.4,20988,21026.2
447.2158423,22279.4,21099.8,20515.8,20211.6,20346.6
452.1606383,22513.8,21166,20564.8,20247.2,20387
457.0978776,22541,21103.6,20714,20352.2,20465.4
462.0275727,22141,20828,20239.4,19967.2,20020.6
466.9497361,22535.4,21265.8,20700.4,20338.8,20400
471.8643802,21918.8,20736.4,20126.6,19781.6,19900.2
476.7715176,22433.8,21069.4,20584.6,20288.6,20390.2
481.6711608,22591.6,21213.6,20672.2,20372.2,20317.8
486.5633221,22697.2,21525.8,20872.4,20759.8,20614.8
491.448014,22634,21404.6,20673.2,20395,20302.8
496.3252488,22398,21045.4,20526.8,20314.6,20267
501.195039,22289.4,20996.6,20361.4,20090.6,20169.8
506.0573969,22518,21124.8,20676.2,20377,20299.8
510.9123349,22210.4,20832.2,20347.8,19946.6,20083.8
515.7598651,21764.6,20519.4,19903.4,19467.4,19688
520.6,22062.2,20607.4,20220,19902.4,20001.8
525.4327518,21879.2,20509.4,19933,19631.6,19696.6
530.2581327,21785,20574.8,20028.8,19746.2,19877.4
535.076155,21333.6,20151,19552.8,19418.8,19418.2
539.8868309,21721,20458.2,20034.6,19595,19729.2
544.6901726,21612.4,20384.2,19855.4,19602.8,19745.2
549.4861922,21309.4,19994.4,19542.6,19074,19358
554.2749019,22023.6,20736.8,20225.8,19941,19992.6
559.0563139,21355,20104.6,19698.2,19254.6,19233.2
563.8304402,21095.6,19796.6,19244.4,19063.6,18984.8
568.597293,21784.6,20495.2,20146,19705.2,19944.8
573.3568844,21491.8,20241.4,19639.8,19531.2,19520.4
578.1092263,21173.2,19932.4,19398.4,19189.2,19081.2
582.8543308,21525.8,20375,19834,19537.6,19579.2
587.5922101,21461.8,20193.2,19646,19433.4,19432
592.322876,21024,19829.4,19457.8,19103,19151.8
597.0463405,21306.8,20065.2,19677.2,19356,19304.6
601.7626157,21560.2,20106.6,19821.4,19518.8,19464
606.4717135,21058.2,19692.8,19298.8,19108,19167.4
611.1736458,20962,19826.2,19327,19072.6,19060.8
615.8684246,21109,19827.2,19340,19125,19121.2
620.5560617,21245.8,19989,19464,19228,19252
625.2365691,20828.4,19691.6,19283,18970.8,18995.6
629.9099585,21174.8,20107,19663.6,19335.4,19431.6
634.5762419,21343.8,20025.4,19858,19407,19554.4
639.2354312,20753.4,19622.6,19125.4,18842.2,18951
643.887538,20886.4,19845.6,19299.8,18987.8,19173.4
648.5325743,20760.8,19573.4,19235,18795,18924.4
653.1705518,20711.6,19558,19098.2,18770.6,18968.6
657.8014823,20787.8,19609.2,19243.6,18805,19012.8
662.4253775,20254.4,19200,18601,18281,18382.4
667.0422493,20579.6,19378.8,18879.6,18614.2,18795.8
671.6521092,20407.6,19176,18797,18514.8,18600.2
676.2549691,20419,19418.8,18892.2,18790,18672.8
680.8508407,20410.2,19321.8,18819.8,18553.8,18705.4
685.4397355,20207.6,19175.6,18654,18375.6,18527
690.0216654,20284,19201.8,18738.4,18524.4,18549.6
694.5966419,20105.6,18965.6,18551,18258.8,18416.4
699.1646767,20446.8,19363.2,18880.4,18589.6,18723.8
703.7257814,20275.2,19169.2,18667.4,18415.8,18551.4
708.2799676,20162,19231.4,18804,18634.4,18550.8
712.827247,20423,19328.6,18996.2,18701.6,18647.8
717.367631,20276.2,19150.4,18710.6,18433.8,18397
721.9011314,20110.6,19121.6,18594.6,18347,18521
726.4277595,19433.4,18467.4,17961,17695.4,17801.2
730.9475271,19952.2,18931.2,18387.4,18164.6,18135.6
735.4604456,19821.8,18696.6,18328.2,18043.8,18121.4
739.9665264,20157,19109.2,18680.2,18460,18495
744.4657813,19726.6,18671,18230.4,17910.4,18031.2
748.9582215,19651.4,18558,18122.8,17924.8,17985.4
753.4438587,19191.8,18053.6,17725.8,17510.8,17507.8
757.9227042,18923.8,17957.6,17505.8,17330.8,17367.6
762.3947696,19443,18405.8,18006.2,17751.6,17832.6
766.8600662,18902,17870.4,17502.6,17258.6,17323.4
771.3186056,20008,19148.2,18736.4,18342.4,18547
775.770399,19182.6,18180.2,17719.2,17551.4,17678.2
780.215458,19432,18410.4,17993,17758.6,17832.4
784.6537939,18818.2,17752,17373.4,17160.6,17243.4
789.0854181,18762.4,17714.4,17360.2,17138.4,17294.6
793.510342,18567.6,17542.6,17299,16980,17064
797.9285769,19096.8,18003,17652.2,17409.2,17428.6
802.3401342,18400.8,17567.8,17179.6,16927.8,16871
806.7450253,18587.4,17667.4,17227,17033.6,17157
811.1432614,18602.4,17566,17240.8,16915.2,17121.4
815.5348538,18433.6,17409.2,17109.4,16818.8,16899.4
819.9198139,18118.2,17250.4,16845.8,16540.4,16668.6
824.2981531,18108.6,17312.4,16986.2,16740.8,16842.2
828.6698824,18224.2,17409.6,17117.6,16820,17002.8
833.0350133,18190,17235,16765.2,16632.6,16722.6
837.393557,17757.8,16931.2,16507.2,16391,16463.8
841.7455248,18139.4,17178.4,16887.4,16732.4,16757.4
846.0909278,17863.8,17039.6,16663.4,16400.4,16549.8
850.4297774,17809,16875.6,16634.8,16442.2,16479.2
854.7620848,17776.2,16937.6,16655.6,16523.4,16414.4
859.0878611,18146.2,17201,16819.6,16682.6,16835
863.4071176,17534.8,16681.6,16235.8,16097,16185.8
867.7198655,17928.2,17065.6,16673.2,16546,16636.2
872.026116,18118,17193.2,16968,16736.2,16744.4
876.3258802,18460,17564.2,17292,17014.8,17061.2
880.6191693,18025.2,17283.4,16983.8,16757.8,16732.6
884.9059946,18090.8,17195.6,16920.6,16668,16737.6
889.186367,18451.6,17529.4,17225.4,17016.2,17124.4
893.4602979,17352.8,16653.6,16267.4,16027.2,16193
897.7277982,17392.4,16548.2,16229,16111.6,15984
901.9888793,17535.6,16772.8,16397.6,16271.2,16307.4
906.2435521,17895.6,16988.2,16771,16462,16547.6
910.4918277,17500.6,16679,16384.6,16184,16261.4
914.7337174,17553.6,16598.4,16349,16149,16267.8
918.9692321,17238.8,16498.6,16143.2,15970.6,16015.2
923.1983831,17846,17021.8,16661.8,16418,16504.2
927.4211813,17325.6,16490.8,16253.2,15980.6,16102.8
931.6376378,17882.6,17041.4,16629.8,16573.6,16582.8
935.8477637,17386.2,16567.6,16336.6,16106.6,16300.4
940.0515701,17600,16777.6,16415.6,16382,16431.6
944.249068,17669,16804.4,16504.6,16341.6,16387.6
948.4402684,16990.8,16127.6,15863.4,15666,15743.6
952.6251825,17667.6,16776.6,16558.2,16309.6,16460.4
956.8038212,17299,16544.8,16214,15967.6,16114.4
960.9761955,17832.8,16961.4,16626.4,16410.6,16453.4
965.1423166,17313,16654.8,16265.4,16126.8,16097.2
969.3021953,17411.8,16599.2,16269.2,16060,16119.2
973.4558427,17397,16511.4,16234.6,16147.6,16219.8
977.6032699,17237.2,16476.2,16121,15989.2,16063.4
981.7444877,17234.8,16581.6,16125,16002.4,16024.8
985.8795072,17142.8,16430.2,16083.6,15905.4,16027.6
990.0083394,17244.4,16540,16248,16050,16077.2
994.1309953,17019.2,16232.2,15994,15852.8,15917.6
998.2474857,17482.4,16670,16268.8,16202.4,16206.8
1002.357822,16668.8,16018.2,15731.2,15572.8,15569
1006.462014,17219.8,16567.4,16248.6,16033.6,16079
1010.560075,16971.4,16173.2,15906.6,15809,15765.8
1014.652013,17285.4,16488.8,16135,16099.4,16089.4
1018.737841,17458.2,16601,16469,16286,16494.6
1022.81757,17029.2,16153,16043,15928.8,16036.2
1026.891209,16897.6,16195.2,15879,15811.2,15865
1030.958771,16733.2,15885.6,15698.6,15557,15623.6
1035.020266,16992.2,16289.4,15927.6,15923.6,15906.4
1039.075705,16717.2,16176.8,15767.8,15684.6,15699.4
1043.1251,16628.2,15890,15507.2,15367.2,15490
1047.16846,16722.4,15879,15689.6,15599.2,15668.8
1051.205797,16671.2,15821.4,15572.2,15400.8,15572.2
1055.237121,16494.2,15741.4,15520.4,15274.4,15463.2
1059.262444,16711.2,15958.2,15632,15579.4,15668.2
1063.281777,16824,16020.4,15834,15534.6,15552.4
1067.295131,16999.4,16423.4,16117.6,15880.8,16036.4
1071.302515,18116.4,17348,17049.4,16982.2,17079.2
1075.303942,17475.2,16746.8,16447,16383.6,16437.4
1079.299422,17845.6,17067.6,16810,16712.4,16791.6
1083.288966,17129.8,16455,16150.6,16005.4,16201.6
1087.272585,16728,16086.4,15810,15623.8,15780.4
1091.250289,16598.8,15926.4,15618.6,15626.6,15507.2
1095.222091,16664,15987.4,15659.8,15577.8,15729.2
1099.187999,16283.2,15599.8,15429.2,15271.8,15337
1103.148026,16310.4,15666,15493.2,15342.8,15513.6
1107.102183,16300.4,15665.8,15405.8,15173.2,15427.6
1111.050479,16416.6,15872.4,15581.2,15336.8,15428.8
1114.992927,16370.6,15701,15508.6,15247.6,15428
1118.929536,16389.8,15676,15454.8,15269.6,15433
1122.860318,16798.2,16063.2,15834.6,15739.4,15924.2
1126.785283,16602.2,15998.6,15664.8,15542.2,15697.2
1130.704443,16993.8,16310.6,16018.4,15937.8,16080.4
1134.617808,18222,17511.2,17100,17033.8,17231.2
1138.52539,18367.4,17551.2,17226.6,17265.8,17291.6
1142.427198,18068.8,17447.6,17032.4,17046.4,17129.2
1146.323244,17623.4,16860.6,16558.2,16617.2,16693.6
1150.213538,16876,16097.8,15897,15727.2,15805.8
1154.098093,16572.4,15975.8,15650.8,15659.6,15675.6
1157.976917,15943.2,15241.6,15114.8,14996.2,14959.8
1161.850023,15840.6,15018.4,14912,14771,14857.8
1165.717421,16055.8,15399.2,15306.4,15163.4,15196
1169.579121,15789.4,15070.4,14916.2,14859.2,14940.8
1173.435135,15935.8,15400.2,15232.8,15075.2,15194.4
1177.285474,15267.2,14699.8,14417.8,14452.6,14511.6
1181.130148,15461.4,14845,14634.6,14515.8,14648.4
1184.969169,15972,15304,15048.2,15012.8,14940
1188.802547,15897.4,15287,15144.8,14986.4,15086.8
1192.630292,15853.2,15025.4,14917,14719.4,14873.6
1196.452416,15497.4,14838.4,14630.8,14594.8,14639.8
1200.26893,15401.8,14938.6,14670.6,14519,14556.6
1204.079844,15227,14597.6,14430.6,14369.2,14350.2
1207.88517,14869,14267.6,13929,13943.8,13827.8
1211.684917,15205.8,14724.6,14441,14431.6,14481.4
1215.479098,15006.4,14322.2,14176,14058.8,14134.2
1219.267722,16254.6,15652,15488.2,15486.6,15400
1223.050801,14994.2,14517.4,14288.6,14191,14184.6
1226.828346,14941.8,14473.4,14260.8,14156.6,14229.8
1230.600366,15036.2,14526.4,14320,14331.4,14403.2
1234.366874,14939.4,14379.8,14266,14194,14301.8
1238.12788,14793.6,14198.4,14035,14005.4,14082
1241.883395,14854.6,14389.6,14185.4,14128.8,14138
1245.633429,14954.8,14585,14365.6,14237.4,14317
1249.377994,15034.4,14542.6,14294,14243.2,14276.8
1253.1171,14390.4,13977.6,13788.6,13788.4,13776.4
1256.850759,14796.6,14226.8,14142.8,14050.8,14157.6
1260.578981,14791,14276.6,13927,13903.2,13963.2
1264.301776,14696.8,14222.6,14083.2,13987.2,14039.6
1268.019157,14744,14297.8,14064,13935.2,14016.4
1271.731133,14488.8,14041.4,13948,13730.2,13834.2
1275.437715,14501.8,13937.4,13710.8,13745,13783.8
1279.138915,14765.4,14182.4,14123,14004.4,14095.6
1282.834743,14968,14403.6,14375,14168.2,14290
1286.52521,14639.8,14143.4,13884.6,13856.6,13982.2
1290.210328,14505.8,14097,13865.2,13751.8,13768.6
1293.890106,14660.4,14013.4,13898,14001.4,13905.8
1297.564555,15087.2,14565.8,14392.8,14348.6,14428.6
1301.233688,14568,14022.2,13825,13801,13850.4
1304.897514,14860.8,14247.8,14161,14015,14107.4
1308.556044,14832.8,14441.8,14177.8,14241,14197
1312.209289,14851,14370.6,14212,14160,14228
1315.857261,14245.6,13918,13729,13755.2,13724.4
1319.499969,14428.6,14059.2,13702,13763.6,13752.8
1323.137425,14891.4,14389,14416.8,14221.6,14304.8
1326.769641,14511.8,14075.8,13916.2,13883.4,13884
1330.396626,15084.4,14503,14298.6,14341.2,14343.4
1334.018391,14486.8,14080.8,13920,13823.2,13866
1337.634948,14637.2,14086.2,13986.8,13894.4,14036
1341.246307,14324,13870.6,13635.8,13721.6,13738
1344.85248,14426.4,13891.2,13689.2,13648.6,13746.8
1348.453477,14216.4,13737.8,13629.2,13569.4,13560.4
1352.049309,14224,13783,13612.4,13521.6,13617.8
1355.639987,14267,13877.2,13648.8,13677.8,13711.6
1359.225522,14604.4,14221.4,14095.4,14098.2,14089.4
1362.805925,14344.4,13806.8,13730.2,13757.8,13870.8
1366.381207,14406.8,14009,13770.8,13798.4,13828.2
1369.951379,14580,14061.4,13971.6,13837.2,13938.8
1373.516452,14605.4,14169.2,13981.8,14005.6,13949.4
1377.076436,14918.2,14451.8,14236.4,14194.8,14227
1380.631343,15023.6,14481.2,14400,14258.4,14387
1384.181184,15026.8,14478.4,14382.8,14398.4,14305.8
1387.725969,15367.6,14752.8,14694.4,14637,14629.2
1391.26571,14951.6,14403.4,14278.4,14305.8,14415.6
1394.800417,14572.4,14043,13851.4,13864,14098
1398.330102,14321.6,13837.2,13646.6,13599.8,13718.4
1401.854776,14242.8,13840.2,13690.2,13559.2,13698
1405.374448,14254.6,13660.8,13510.4,13420.6,13578.2
1408.889132,13785.8,13298.2,13114.6,13143,13223.2
1412.398837,13570.4,13174.6,12980.8,12953.8,13012.8
1415.903574,13905,13625.4,13419.2,13399.8,13557.6
1419.403355,14768.4,14192.2,14165.4,14083,14179.2
1422.89819,14756.2,14270,14114.6,14047,14268
1426.388091,14983,14507.6,14367.2,14434.4,14523.4
1429.873069,15504.4,15020.6,14832.2,15010.8,15076.2
1433.353134,14897.6,14405.6,14298.6,14338.6,14279.8
1436.828298,14631.8,14169.2,14055.2,13981.4,14064.8
1440.298571,14374,14024.8,13837.6,13787.2,13958.2
1443.763965,13990.4,13648.2,13421,13315.2,13488.6
1447.224491,13774.6,13335,13207,13077.2,13187.8
1450.68016,13616.4,13249.6,13060.8,13058.8,13082.4
1454.130983,13811.2,13448.4,13295.4,13327.6,13288
1457.576971,13777.8,13313,13167.8,13159.6,13158.4
1461.018135,13731.4,13438.4,13249.4,13230.6,13263
1464.454486,13858.6,13423,13222.8,13138.8,13180.2
1467.886036,13489.8,13039.8,12869.6,12812.2,12833.4
1471.312794,13392.4,13033.6,12891.6,12845.6,12834.4
1474.734774,13100.2,12671.8,12581,12504.6,12601.4
1478.151985,13660.4,13145,13065.4,13000.6,13106
1481.564439,13218,12861.2,12762.8,12670.4,12694.6
1484.972146,13218.8,12821.8,12719.2,12681.4,12628.6
1488.375119,12865.8,12411.6,12253.8,12255.6,12299.8
1491.773368,13019.6,12640,12487,12536.6,12538
1495.166904,13454.2,13177.2,12982.8,12931,12989.2
1498.555739,12836.8,12488,12350.2,12373,12364.8
1501.939883,12914.8,12598.8,12460.2,12437.8,12479.6
1505.319349,12489.8,12228.6,12073.8,11995.4,12031.6
1508.694146,12837.8,12550.8,12412,12431,12461.6
1512.064286,12906.2,12593.8,12411.4,12402,12374.4
1515.429781,12878.8,12474.6,12293.4,12339.2,12363.6
1518.790642,12783.2,12478.2,12156.2,12215.8,12246.6
1522.146879,12885.6,12374.4,12335.4,12290.6,12393.6
1525.498505,12475.4,12196.6,12030,11932.4,12010
1528.845529,12518,12102.6,12019,12020.4,12009.2
1532.187965,12939.8,12779.4,12566,12530.6,12670.8
1535.525822,12717.8,12288.4,12120,12120.4,12205
1538.859112,12658,12340.4,12147.4,12082.6,12215.2
1542.187846,13120.6,12878,12688.4,12530.8,12745
1545.512036,12549.2,12121.6,11932,11954,11950
1548.831693,13424,13127,12949,12854.6,12854.6
1552.146829,13083.6,12662.2,12526.8,12508.4,12585.4
1555.457453,12538,12141.4,12048.2,11997.2,12048.6
1558.763579,12230.4,11952.8,11773.4,11741.6,11709.2
1562.065216,12581.2,12219.4,12069.8,12086.6,12113.8
1565.362377,12725.6,12435,12312.6,12332.2,12328.6
1568.655073,12962.4,12651.4,12514.2,12548,12584.4
1571.943315,12808.8,12496,12371,12462.4,12396.8
1575.227114,12959.4,12555.2,12490.2,12386.2,12488.2
1578.506482,12750,12376.6,12191.6,12246.4,12428.6
1581.781431,13058.8,12727.4,12550.4,12595.4,12554.2
1585.051971,12591.2,12220.8,12082.8,12061.2,12207.2
1588.318114,12597.8,12342.6,12233.4,12162.4,12174.8
1591.579872,12489.2,12198,12066.8,12085,12027
1594.837255,12281.8,12002.4,11876,11820.6,11934.2
1598.090275,12127.4,11904.4,11803.2,11846.4,11777.4
1601.338945,12256.6,12023.8,11867.8,11845,11896.2
1604.583274,12655.6,12150.2,12174.4,12127.2,12152.4
1607.823275,12304.6,11973.6,11843.8,11853,11821.6
1611.058959,11998.8,11641.8,11530.6,11566,11599.2
1614.290338,12459.4,12188,12120.4,12067.6,12203
1617.517422,11818.6,11564.2,11518.6,11381.4,11456
1620.740224,12070.2,11894.6,11753.2,11683.8,11790.6
1623.958755,11824.8,11521.4,11391.6,11366,11489.8
1627.173027,11859.6,11638.6,11467.8,11445.2,11408.2
1630.38305,11663.8,11404.2,11295.4,11290,11359.2
1633.588838,11795.4,11537,11419.2,11469,11521
1636.7904,11787.4,11351.6,11303.2,11271.6,11261.8
1639.987749,11838,11556.6,11408.8,11381.4,11533.6
1643.180896,11854.2,11705.6,11619,11495.8,11526.6
1646.369853,11491,11231.8,11141.6,11056.4,11141
1649.554632,12033.6,11826.8,11668.8,11762.2,11690
1652.735244,11605.2,11281,11180.8,11204,11191.2
1655.9117,11261.6,10962.6,10781.6,10881.2,10906
1659.084013,11619.8,11350,11227,11155.8,11182
1662.252193,12157.4,11783.8,11761.8,11650.2,11724
1665.416254,11494.2,11228.6,11105,11048,11041
1668.576205,11647.2,11319.2,11168.8,11243.8,11246.4
1671.732059,11810.6,11518.4,11492.6,11372.4,11377.2
1674.883828,11826.2,11636,11450,11432,11526.4
1678.031523,11443.4,11151.6,11040.6,10946,11015.2
1681.175157,11513.2,11193.4,11046,11053.2,11156
1684.314739,11543,11305,11183.2,11092.2,11149.6
1687.450284,11473.6,11158.8,11087,11030.8,11030.8
1690.581801,11295.2,11037,10962,10893,10941.8
1693.709304,11201,10972,10840.4,10747.4,10757.4
1696.832803,11233.6,10906.2,10870.2,10834.2,10857.2
1699.952311,11380.2,11064.2,11062.2,10942.6,11028
1703.067839,11310.6,11114.4,10946.6,10956.4,11057.6
1706.179399,11237,10975,10933.2,10878.2,10923
1709.287003,11638,11386,11228.4,11177,11196.6
1712.390663,11232.8,11091,10915.8,10990.6,10904.6
1715.49039,11300.2,11067.4,10913.4,10878.8,10873.4
1718.586197,11479.4,11335.8,11198.2,11135,11142.2
1721.678095,11372.8,11222,10999,10921,10975.6
1724.766096,11438.6,11113.2,11027,10980.2,11040.8
1727.850213,10930,10624.8,10628.6,10515.8,10548.2
1730.930456,11143.6,10984.8,10852.4,10815,10777
1734.006838,11099,10801.8,10763.8,10696.4,10722.8
1737.079372,11241.2,11024,10891.8,10824,10870.8
1740.148067,10950.4,10673.6,10631.2,10524.4,10643.6
1743.212938,11707.8,11524.2,11405.2,11337.8,11313
1746.273996,11058.6,10755.2,10727.6,10681.6,10703.8
1749.331252,11067.4,10820.8,10609.6,10688.2,10647.4
1752.384718,11119.4,10812.6,10734.8,10771.2,10755.2
1755.434408,11007.4,10864.2,10713,10634.4,10716.6
1758.480332,11054.2,10734.4,10725.6,10658.4,10683.8
1761.522503,10961.2,10751.8,10616.4,10611.8,10599.4
1764.560933,10868.4,10669.6,10554,10487.8,10509
1767.595634,10620.8,10341.2,10242.4,10305.8,10289.8
1770.626618,11222.8,10917.8,10752.8,10722.8,10761.2
1773.653896,11083,10899.4,10733,10780.4,10850.2
1776.677482,10885.4,10597.4,10496.2,10481.8,10478.6
1779.697388,10702.2,10554,10400.8,10472.2,10464
1782.713625,11171.8,11007.6,10848.6,10831.2,10860.6
1785.726205,11155.8,10980.6,10828.8,10797.8,10780.6
1788.735141,11043.8,10959,10758.8,10730,10753.8
1791.740445,10758.8,10484,10368.2,10422.8,10392.8
1794.742129,10757,10409.8,10321,10305.4,10317.8
1797.740206,10986.6,10753.2,10755,10640.6,10670.6
1800.734687,10957.6,10795.2,10571.2,10620.2,10670
1803.725585,10921,10634.8,10500.4,10449.8,10534.2
1806.712912,10812.2,10630,10461,10545.6,10614.6
1809.69668,10624.6,10429.8,10246,10270.8,10287.8
1812.676902,10671.6,10593,10356.6,10362.2,10336.8
1815.65359,10431.6,10245,10178.2,10124.6,10124.6
1818.626756,10489.6,10333.4,10193.6,10166.2,10267.2
1821.596413,10620.6,10424.4,10360.2,10367.6,10364.8
1824.562573,10400.8,10225.8,10040,10106.2,10060.4
1827.525247,10623.4,10455.6,10287.6,10320.6,10312
1830.48445,10475.2,10227.8,10201.8,10214,10206.8
1833.440192,10526.8,10412.8,10318.2,10335.6,10320.2
1836.392487,10577.4,10298.8,10234.8,10126.6,10238.8
1839.341347,10644.6,10496.4,10308.6,10337.6,10377.2
1842.286784,10745.6,10468.8,10440.2,10444.2,10430.6
1845.22881,10225.2,10014,9965.8,9896.8,9946
1848.167439,10695.8,10556.6,10451,10444.2,10386
1851.102682,10526.2,10366.4,10219.2,10217.6,10183.2
1854.034553,10507.4,10337.2,10188.6,10244.8,10254
