relative_path,sha256,bytes,ast_parses,contains_absolute_path,status
Scripts/Finals/Raman_bsf_RP.py,1156c8922b71e9f034809e4c888b10fb5c7b6ca1a155e2a933a2f6a09559a3d3,7632,true,true,superseded_not_distributed
Scripts/Finals/Raman_bsfs2_RM.py,9741539efe6d1d50dcd741cbebb572e1b9eda3f1b6b76894b19177eb0e7f1db9,8269,true,true,superseded_not_distributed
Scripts/Finals/Raman_bsfs3_RM.py,60129e274888fe72de8a57998a54f41ffa0f05c3cf6fff888f6331a17874d3d7,8517,true,true,superseded_not_distributed
Scripts/Finals/Raman_mp_cv_RM_HS.py,ff4649b70c7afe04f34ec2d4590f89720d5f7c24dac22dfaa907bb3b0e544e32,12530,true,true,superseded_not_distributed
Scripts/Finals/Raman_mp_cv_RP_4-ATP.py,442124d5b7d1ad0f58e41ad541dea053b0f40ace5bf18e33cd6c4e1594924172,20937,true,true,superseded_not_distributed
Scripts/Finals/Raman_RM_stillnotfixed.py,f2b510608f049f1f2603df79d617cc6d079f13c657ab3f7fac063c2458fb2b49,9183,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/raman_sers_pipeline_merged.py,f80842b31bce5d33f5f79719a48170f61b145e838bc2d776e1520946aaa254b3,18626,true,false,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/raman_sers_pipeline_merged_spyder.py,eaa1a08a968bbb347b390be623cc2af6fd1740613d426b7ee2ef88d67b5cd946,29946,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/raman_sers_pipeline_merged_spyder_FIXED.py,3804cc7ec8f00005cdc4fc2bf2818897ef8cf80554015617954961f6c14d349b,34747,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/raman_sers_pipeline_merged_spyder_UPDATED.py,c1a6e83db9dec6cf56aa9cf03aac71bca476abedfab604bca7796d4103cdc4aa,28592,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/raman_sers_pipeline_merged_spyder_UPDATED2.py,ec6583400df1615d808f07299d6e2e1f8eeb4ae7f7340f796da2c45610443892,34425,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/RP_4-ATP_CC.py,eba60b3fc31f54674d03cacfa9b00b48e8f321828d1396ef5d18e1d9f8f7fd0d,17033,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/RP_4-ATP_CC_fixed.py,9fda7dbecb199afb68b9cb0c38aefa80c244b7b81e4da38c792011fba13d95cb,8241,true,true,superseded_not_distributed
Scripts/Latest/4-ATP/Raman Portatil/RP_4-ATP_CC_proposed.py,8f014a28d5e4ba4e0daab64ef524ce82b49f37467bb85f4ab5be3eac78040925,17155,true,false,superseded_not_distributed
Scripts/Latest/Anlytical Enhancement/Raman_4-ATP_AEF.py,2de5a90535ff4b9e36ac5cf536f5e8b1e4a66eb75b6d8daa68c508ba3ba8f65e,8260,true,true,superseded_not_distributed
Scripts/Latest/Human Sweat/Raman Microscopy/Each Spectrum/RM_PP_SERS_HS.py,ed15d73091729c4ee8cdad9a327c53d8403b2ddf50eada8768b448db9b7930d7,6526,true,true,superseded_not_distributed
Scripts/Latest/Raman_bsf_RM_m.py,8d5ba87f4b7b35e04885fd642e650ff8b2fcf81b4e196f706961faad6d12a54c,8127,true,true,superseded_not_distributed
Scripts/Latest/Raman_bsf_RP_m.py,1f9150f9c9b0a3248ae50f37a9cd9be7eec82a3546dfde330bd4e3ed52f6a35f,7415,true,true,superseded_not_distributed
Scripts/Latest/Raman_bsfs2_RM_m.py,89119c9a52aa143d7baa679926d4878770cafdc6349d043d518c1a4e2fead68b,13943,true,true,superseded_not_distributed
Scripts/Latest/Raman_bsfs3_RM_m.py,f639afad4af14dcaa4f6dfa51abd8a07db226c20df64eb12b1682793a908e7a8,8521,true,true,superseded_not_distributed
Scripts/Latest/Raman_mp_cv_RM_HS_m.py,0a9941a238cbc98d541a9032d8ae6e331043054e6376be013816a14639fb9644,11568,true,true,superseded_not_distributed
Scripts/Latest/Raman_mp_cv_RP_4-ATP_m.py,442124d5b7d1ad0f58e41ad541dea053b0f40ace5bf18e33cd6c4e1594924172,20937,true,true,superseded_not_distributed
Scripts/Latest/Raman_mp_cv_RP_HS_m.py,fdb4d2676e858e06d5198339ac4c34732d1abfadaca6acb19eec0ef2958e8884,9318,true,true,superseded_not_distributed
Scripts/Peaks detected/Raman_SP_CC_4-ATP_AAB.py,12d831c8cf49d8dedc3d42a43960ad1925c094e68ca9275312e946e78dba5c91,14806,true,true,superseded_not_distributed
Scripts/Peaks detected/Raman_SP_GO_HHR.py,fe7180ee3602b89cec091bf2a75b6273965bda11963251da7c279528ab40ce80,13710,true,true,superseded_not_distributed
Scripts/Peaks detected/Raman_SP_RM.py,437f71e2ba170f7bab73a6fa22f6cb0ed0b5c9a89f01e29e199622dc551ed247,13286,true,true,superseded_not_distributed
Scripts/Plots post processing/Raman_plot_finales.py,87407ce6a597a384415543fdceabee9d15a219b043b3cbc8409f0b248b4cd5fb,9285,true,true,superseded_not_distributed
Scripts/Plots post processing/Raman_shaded_error.py,45787e51424abf55047a0a244d2f01672204b17f0f508f7143d771dfb39637ff,11872,true,true,superseded_not_distributed
Scripts/Plots post processing/Raman_stacks.py,5f420937bd5b836b2555873e04f64be57ced5eb39bd8a68a9a1263efe9e845e6,9310,true,true,superseded_not_distributed
Scripts/Post processing/F-RB/Raman_bl_flt.py,686bd42832db1ec3c8fc8d350bc45cf0740511439ddbd892b7ed2e12ac160817,9698,true,true,superseded_not_distributed
Scripts/Post processing/F-RB/Raman_bl_flt_a.py,639a95b0cafce3a4238ba7ff2fb1ff3cfaba9cf637050434294a4f240157fcc9,7362,true,true,superseded_not_distributed
Scripts/Post processing/F-RB/RSP.py,26daff73f79749dd1de3c30cca29aa70416e7cce1ed2b15aecac52399b03327f,8354,true,true,superseded_not_distributed
Scripts/Post processing/Filter/FFT.py,4b9412b5742a02ab0ad5a8d8445a30c3ec580add8c267d53a1ab5090b1d8c0a1,9743,true,true,superseded_not_distributed
Scripts/Post processing/Filter/FFT_F.py,cd4001d66a46ebc45a08d6551d098a18a0219a2a0d0f049c6dcac1e201055823,5700,true,true,superseded_not_distributed
Scripts/Post processing/FRBS+SB/Raman_bl2_flt_a.py,dc76c0b95ac92e0cf4c638231f5c13eb239fbad75c66b8519a6d32d618ebe9ba,7541,true,true,superseded_not_distributed
Scripts/Post processing/FRBS+SB/Raman_blank.py,def44858c680a9387badb94ccfd5d53bd92338b728701a27b1f0ef15fbd3983b,10048,true,true,superseded_not_distributed
Scripts/Post processing/Removing Baseline + smoothing/Raman_Spectrum.py,2b389325b12badd3edea157692d714f2cc8f191b56fe41466355ca0db071253c,14568,true,true,superseded_not_distributed
Scripts/Post processing/Removing Baseline/Baseline_smooth_test.py,8eea43ad9c8580a5f64ae79099dddbd086f94489731afa6b59eaf6bb6f430fe0,11829,true,true,superseded_not_distributed
Scripts/RP_4_ATP_individual_processed_fixed.py,cc44f4fdc9a04a2b566e5635421c61f9615a30a0f7bb9d877a36cc3499bf7d1e,11848,true,true,superseded_not_distributed
Scripts/RP_4_ATP_individual_processed_fixed_v2.py,b4bdc1610f8ed9590d49a80e422613875f35a4616db9f3d865a213f9567c0e1f,17830,true,true,superseded_not_distributed
